drug1,drug2,drug_pair,total_reports,serious_reports,death_reports,hosp_reports,severity_score,death_score,hosp_score,top_reactions,severity,label,source
letairis,oxygen,letairis + oxygen,13,26,0,0,2.0,0.0,0.0,dyspnoea|epistaxis|fatigue|dyspnoea exertional|rhinorrhoea,MODERATE,1,FDA FAERS
aspirin,atorvastatin,aspirin + atorvastatin,13,15,2,3,1.1538,0.1538,0.2308,rash|dyspnoea|fatigue|cerebrovascular accident|weight increased,MODERATE,1,FDA FAERS
jakafi,omeprazole,jakafi + omeprazole,13,23,0,1,1.7692,0.0,0.0769,haemoglobin decreased|fatigue|headache|nausea|adverse drug reaction,MODERATE,1,FDA FAERS
jakafi,levothyroxine,jakafi + levothyroxine,13,21,0,3,1.6154,0.0,0.2308,weight increased|haemoglobin decreased|increased appetite|constipation|flatulence,MODERATE,1,FDA FAERS
lipitor,simvastatin,lipitor + simvastatin,12,12,0,0,1.0,0.0,0.0,type 2 diabetes mellitus|cataract|diabetic dermopathy|renal failure|parathyroid tumour,MODERATE,1,FDA FAERS
baclofen,tecfidera,baclofen + tecfidera,12,24,0,0,2.0,0.0,0.0,nausea|paraesthesia|influenza|flushing|erythema,MODERATE,1,FDA FAERS
avonex,tecfidera,avonex + tecfidera,12,23,0,1,1.9167,0.0,0.0833,gastric disorder|pruritus|gastrointestinal disorder|flushing|fatigue,MODERATE,1,FDA FAERS
letairis,warfarin,letairis + warfarin,11,21,0,1,1.9091,0.0,0.0909,fluid retention|fatigue|dyspnoea|dry mouth|drug ineffective,MODERATE,1,FDA FAERS
aspirin,dabigatran,aspirin + dabigatran,11,11,0,11,1.0,0.0,1.0,drug interaction|gastrointestinal haemorrhage|haemorrhage|melaena|diverticulum intestinal haemorrhagic,MODERATE,1,FDA FAERS
aspirin,dronedarone,aspirin + dronedarone,11,11,0,11,1.0,0.0,1.0,drug interaction|gastrointestinal haemorrhage|haemorrhage|melaena|diverticulum intestinal haemorrhagic,MODERATE,1,FDA FAERS
atorvastatin,lipitor,atorvastatin + lipitor,11,11,0,1,1.0,0.0,0.0909,type 2 diabetes mellitus|chronic obstructive pulmonary disease|emphysema|bronchitis|dyspnoea,MODERATE,1,FDA FAERS
jakafi,metoprolol,jakafi + metoprolol,11,18,0,1,1.6364,0.0,0.0909,blood count abnormal|haemoglobin decreased|diarrhoea|fatigue|weight increased,MODERATE,1,FDA FAERS
aspirin,omeprazole,aspirin + omeprazole,10,13,1,3,1.3,0.1,0.3,type 2 diabetes mellitus|blood count abnormal|platelet count decreased|pain|dizziness,MODERATE,1,FDA FAERS
allopurinol,aspirin,allopurinol + aspirin,10,13,1,4,1.3,0.1,0.4,rash|oedema peripheral|fluid retention|influenza|pneumonia,MODERATE,1,FDA FAERS
letairis,prednisone,letairis + prednisone,10,19,0,1,1.9,0.0,0.1,nasal congestion|fluid retention|drug ineffective|dyspnoea|bronchitis,MODERATE,1,FDA FAERS
yasmin,yaz,yasmin + yaz,10,10,1,7,1.0,0.1,0.7,injury|general physical health deterioration|pain|abdominal pain|pulmonary embolism,MODERATE,1,FDA FAERS
aspirin,metoprolol,aspirin + metoprolol,10,15,0,3,1.5,0.0,0.3,gastrointestinal haemorrhage|drug interaction|back pain|grand mal convulsion|vomiting,MODERATE,1,FDA FAERS
lisinopril,simvastatin,lisinopril + simvastatin,9,14,2,2,1.5556,0.2222,0.2222,vomiting|nausea|abdominal pain upper|alopecia|fatigue,MODERATE,1,FDA FAERS
amlodipine,aspirin,amlodipine + aspirin,9,13,1,3,1.4444,0.1111,0.3333,dizziness|headache|pain|nausea|haemoglobin decreased,MODERATE,1,FDA FAERS
aspirin,lipitor,aspirin + lipitor,9,10,1,3,1.1111,0.1111,0.3333,type 2 diabetes mellitus|drug interaction|incontinence|urinary tract infection|gallbladder disorder,MODERATE,1,FDA FAERS
letairis,sildenafil,letairis + sildenafil,9,18,0,0,2.0,0.0,0.0,dyspnoea|pulmonary arterial hypertension|weight decreased|therapeutic response decreased|drug ineffective,MODERATE,1,FDA FAERS
omeprazole,simvastatin,omeprazole + simvastatin,9,12,2,3,1.3333,0.2222,0.3333,nausea|fatigue|vomiting|haemoglobin decreased|blood lactate dehydrogenase increased,MODERATE,1,FDA FAERS
adcirca,ventavis,adcirca + ventavis,8,14,0,1,1.75,0.0,0.125,dizziness|headache|blood pressure decreased|visual impairment|scleroderma,MODERATE,1,FDA FAERS
aspirin,metformin,aspirin + metformin,8,9,2,2,1.125,0.25,0.25,gastrointestinal haemorrhage|drug interaction|rash|headache|thrombotic microangiopathy,MODERATE,1,FDA FAERS
methotrexate,prednisone,methotrexate + prednisone,8,9,0,5,1.125,0.0,0.625,thrombocytopenia|petechiae|respiratory failure|listeriosis|pyrexia,MODERATE,1,FDA FAERS
amlodipine,omeprazole,amlodipine + omeprazole,8,10,0,3,1.25,0.0,0.375,fatigue|pneumonia|hypomagnesaemia|drug interaction|pain,MODERATE,1,FDA FAERS
metoprolol,omeprazole,metoprolol + omeprazole,8,13,0,2,1.625,0.0,0.25,dyspnoea|fluid retention|feeling abnormal|abnormal dreams|nightmare,MODERATE,1,FDA FAERS
jakafi,lisinopril,jakafi + lisinopril,8,14,0,1,1.75,0.0,0.125,haemoglobin decreased|fatigue|platelet count decreased|weight increased|pulmonary embolism,MODERATE,1,FDA FAERS
lipitor,lisinopril,lipitor + lisinopril,8,11,0,3,1.375,0.0,0.375,type 2 diabetes mellitus|drug hypersensitivity|convulsion|alcohol detoxification|loss of consciousness,MODERATE,1,FDA FAERS
aspirin,plavix,aspirin + plavix,8,8,1,6,1.0,0.125,0.75,drug interaction|influenza|pneumonia|grand mal convulsion|vomiting,MODERATE,1,FDA FAERS
lasix,letairis,lasix + letairis,8,15,0,1,1.875,0.0,0.125,oedema|dyspnoea|weight decreased|fall|emergency care,MODERATE,1,FDA FAERS
furosemide,letairis,furosemide + letairis,8,15,0,1,1.875,0.0,0.125,oedema peripheral|fluid retention|drug ineffective|pulmonary arterial hypertension|weight increased,MODERATE,1,FDA FAERS
humira,methotrexate,humira + methotrexate,8,8,0,7,1.0,0.0,0.875,asthenia|fall|injection site pain|dyspnoea|pneumonia,MODERATE,1,FDA FAERS
lisinopril,metformin,lisinopril + metformin,8,10,2,3,1.25,0.25,0.375,loss of consciousness|dehydration|headache|abdominal pain upper|nausea,MODERATE,1,FDA FAERS
aspirin,crestor,aspirin + crestor,8,10,0,2,1.25,0.0,0.25,cerebrovascular accident|weight increased|withdrawal syndrome|gastrointestinal haemorrhage|drug interaction,MODERATE,1,FDA FAERS
humira,prednisone,humira + prednisone,8,8,0,6,1.0,0.0,0.75,thrombocytopenia|petechiae|inflammation|mycobacterium tuberculosis complex test positive|headache,MODERATE,1,FDA FAERS
aspirin,multivitamin,aspirin + multivitamin,7,13,0,1,1.8571,0.0,0.1429,nausea|product quality issue|hypertension|dehydration|night sweats,MODERATE,1,FDA FAERS
calcium,jakafi,calcium + jakafi,7,12,0,0,1.7143,0.0,0.0,platelet count decreased|blood count abnormal|haemoglobin decreased|stem cell transplant|splenomegaly,MODERATE,1,FDA FAERS
jakafi,multivitamins,jakafi + multivitamins,7,12,0,0,1.7143,0.0,0.0,platelet count decreased|haemoglobin decreased|anaemia|stem cell transplant|splenomegaly,MODERATE,1,FDA FAERS
omeprazole,prednisone,omeprazole + prednisone,7,8,1,4,1.1429,0.1429,0.5714,pain|tuberculosis of central nervous system|adverse drug reaction|thrombocytopenia|blood count abnormal,MODERATE,1,FDA FAERS
azathioprine,prednisone,azathioprine + prednisone,7,7,1,2,1.0,0.1429,0.2857,posterior reversible encephalopathy syndrome|tuberculosis of central nervous system|cerebral haemorrhage|subarachnoid haemorrhage|mood swings,MODERATE,1,FDA FAERS
fluorouracil,oxaliplatin,fluorouracil + oxaliplatin,7,7,0,7,1.0,0.0,1.0,chest pain|pyrexia|infusion related reaction|respiratory distress|nausea,MODERATE,1,FDA FAERS
crestor,lipitor,crestor + lipitor,7,8,0,0,1.1429,0.0,0.0,type 2 diabetes mellitus|drug hypersensitivity,MODERATE,1,FDA FAERS
hydrochlorothiazide,jakafi,hydrochlorothiazide + jakafi,7,13,0,1,1.8571,0.0,0.1429,weight increased|transfusion|hospice care|diabetes mellitus|urinary tract infection,MODERATE,1,FDA FAERS
aspirin,furosemide,aspirin + furosemide,7,8,0,4,1.1429,0.0,0.5714,gastrointestinal haemorrhage|drug interaction|oedema peripheral|fluid retention|increased appetite,MODERATE,1,FDA FAERS
jakafi,multivitamin,jakafi + multivitamin,7,14,0,0,2.0,0.0,0.0,fluid retention|feeling abnormal|abnormal dreams|nightmare|insomnia,MODERATE,1,FDA FAERS
jakafi,zyrtec,jakafi + zyrtec,7,13,0,0,1.8571,0.0,0.0,haemoglobin decreased|diarrhoea|nausea|weight increased|rash,MODERATE,1,FDA FAERS
metoprolol,simvastatin,metoprolol + simvastatin,7,11,0,2,1.5714,0.0,0.2857,abdominal pain upper|grand mal convulsion|vomiting|amnesia|respiratory disorder,MODERATE,1,FDA FAERS
aspirin,levothyroxine,aspirin + levothyroxine,7,9,0,2,1.2857,0.0,0.2857,increased appetite|weight increased|constipation|haemoglobin decreased|influenza,MODERATE,1,FDA FAERS
jakafi,synthroid,jakafi + synthroid,7,14,0,0,2.0,0.0,0.0,rash|dyspnoea|hospice care|therapeutic response unexpected|hypothyroidism,MODERATE,1,FDA FAERS
amlodipine,atorvastatin,amlodipine + atorvastatin,7,9,0,1,1.2857,0.0,0.1429,dyspnoea|pain in extremity|oedema peripheral|pneumonia|angiopathy,MODERATE,1,FDA FAERS
lisinopril,plavix,lisinopril + plavix,7,7,1,6,1.0,0.1429,0.8571,vomiting|dyspnoea|influenza|pneumonia|dehydration,MODERATE,1,FDA FAERS
dabigatran,lisinopril,dabigatran + lisinopril,7,7,0,7,1.0,0.0,1.0,drug interaction|haemorrhage|gastrointestinal haemorrhage|iron deficiency anaemia|upper gastrointestinal haemorrhage,MODERATE,1,FDA FAERS
flolan,letairis,flolan + letairis,7,14,0,0,2.0,0.0,0.0,clostridial infection|nasopharyngitis|pyrexia|diarrhoea|decreased appetite,MODERATE,1,FDA FAERS
levothyroxine,simvastatin,levothyroxine + simvastatin,7,9,1,2,1.2857,0.1429,0.2857,increased appetite|incontinence|off label use|epistaxis|blindness,MODERATE,1,FDA FAERS
letairis,tracleer,letairis + tracleer,7,12,0,1,1.7143,0.0,0.1429,dyspnoea|oedema peripheral|fluid retention|chest discomfort|liver function test abnormal,MODERATE,1,FDA FAERS
adcirca,revatio,adcirca + revatio,7,13,0,1,1.8571,0.0,0.1429,asthenia|fluid retention|headache|pyrexia|hepatic enzyme increased,MODERATE,1,FDA FAERS
glipizide,metformin,glipizide + metformin,6,9,1,1,1.5,0.1667,0.1667,gait disturbance|headache|balance disorder|weight increased|rash,MODERATE,1,FDA FAERS
prednisone,revlimid,prednisone + revlimid,6,7,3,1,1.1667,0.5,0.1667,mental status changes|laboratory test abnormal|non-hodgkin^s lymphoma|memory impairment|chronic lymphocytic leukaemia,MODERATE,1,FDA FAERS
furosemide,levothyroxine,furosemide + levothyroxine,6,7,1,2,1.1667,0.1667,0.3333,dizziness|diarrhoea|dehydration|increased appetite|incontinence,MODERATE,1,FDA FAERS
revatio,ventavis,revatio + ventavis,6,12,0,0,2.0,0.0,0.0,dyspnoea|cough|nasopharyngitis|productive cough|pain in jaw,MODERATE,1,FDA FAERS
dabigatran,protonix,dabigatran + protonix,6,6,0,5,1.0,0.0,0.8333,drug interaction|gastrointestinal haemorrhage|diarrhoea haemorrhagic|melaena|haematochezia,MODERATE,1,FDA FAERS
magnevist,omniscan,magnevist + omniscan,6,6,0,0,1.0,0.0,0.0,nephrogenic systemic fibrosis,MODERATE,1,FDA FAERS
ceftriaxone,metronidazole,ceftriaxone + metronidazole,6,6,1,0,1.0,0.1667,0.0,amniotic cavity infection|maternal exposure during pregnancy|meconium stain|foetal death|abortion late,MODERATE,1,FDA FAERS
lipitor,tricor,lipitor + tricor,6,6,1,2,1.0,0.1667,0.3333,type 2 diabetes mellitus|gallbladder disorder|oropharyngeal pain|sinusitis|death,MODERATE,1,FDA FAERS
hydroxyurea,jakafi,hydroxyurea + jakafi,6,12,0,0,2.0,0.0,0.0,headache|dizziness|increased appetite|inappropriate schedule of drug administration|alopecia,MODERATE,1,FDA FAERS
baclofen,gabapentin,baclofen + gabapentin,6,10,0,0,1.6667,0.0,0.0,vomiting|nausea|diplopia|gait disturbance|balance disorder,MODERATE,1,FDA FAERS
furosemide,metoprolol,furosemide + metoprolol,6,9,1,1,1.5,0.1667,0.1667,transfusion|vision blurred|intraocular pressure increased|dyspnoea|septic shock,MODERATE,1,FDA FAERS
jakafi,simvastatin,jakafi + simvastatin,6,10,0,0,1.6667,0.0,0.0,epistaxis|nausea|fatigue|blood lactate dehydrogenase increased|white blood cell count increased,MODERATE,1,FDA FAERS
advair,spiriva,advair + spiriva,6,8,0,1,1.3333,0.0,0.1667,tremor|pneumonia|cough|wheezing|bronchitis,MODERATE,1,FDA FAERS
allopurinol,furosemide,allopurinol + furosemide,6,7,1,1,1.1667,0.1667,0.1667,diarrhoea|nasopharyngitis|dizziness|oedema peripheral|fluid retention,MODERATE,1,FDA FAERS
furosemide,jakafi,furosemide + jakafi,6,10,0,0,1.6667,0.0,0.0,nasopharyngitis|dizziness|diarrhoea|transfusion|vision blurred,MODERATE,1,FDA FAERS
albuterol,aspirin,albuterol + aspirin,6,8,2,2,1.3333,0.3333,0.3333,malaise|nausea|haemoglobin decreased|headache|dyspnoea,MODERATE,1,FDA FAERS
furosemide,pantoprazole,furosemide + pantoprazole,6,6,1,4,1.0,0.1667,0.6667,dehydration|hypoacusis|increased appetite|incontinence|off label use,MODERATE,1,FDA FAERS
aspirin,simvastatin,aspirin + simvastatin,6,7,1,2,1.1667,0.1667,0.3333,grand mal convulsion|vomiting|amnesia|increased appetite|incontinence,MODERATE,1,FDA FAERS
lipitor,synthroid,lipitor + synthroid,6,6,0,4,1.0,0.0,0.6667,type 2 diabetes mellitus|subdural haematoma|haematoma|dysphagia|gastrointestinal haemorrhage,MODERATE,1,FDA FAERS
carvedilol,lisinopril,carvedilol + lisinopril,6,7,1,4,1.1667,0.1667,0.6667,gastrointestinal haemorrhage|oedema peripheral|fluid retention|dehydration|hepatic enzyme increased,MODERATE,1,FDA FAERS
atorvastatin,bendroflumethiazide,atorvastatin + bendroflumethiazide,6,6,0,0,1.0,0.0,0.0,dysgeusia|cerebrovascular accident|weight increased|withdrawal syndrome|small fibre neuropathy,MODERATE,1,FDA FAERS
lasix,prednisone,lasix + prednisone,6,7,1,2,1.1667,0.1667,0.3333,fall|pancreatitis|off label use|mental status changes|blood pressure increased,MODERATE,1,FDA FAERS
lisinopril,omeprazole,lisinopril + omeprazole,6,10,1,1,1.6667,0.1667,0.1667,nausea|vomiting|fatigue|blood count abnormal|platelet count decreased,MODERATE,1,FDA FAERS
hydrochlorothiazide,lisinopril,hydrochlorothiazide + lisinopril,6,11,0,1,1.8333,0.0,0.1667,weight increased|abdominal pain upper|fatigue|stomatitis|haemoglobin decreased,MODERATE,1,FDA FAERS
multivitamin,omeprazole,multivitamin + omeprazole,6,9,0,2,1.5,0.0,0.3333,fluid retention|feeling abnormal|abnormal dreams|nightmare|insomnia,MODERATE,1,FDA FAERS
jakafi,norvasc,jakafi + norvasc,5,9,0,1,1.8,0.0,0.2,haemoglobin decreased|blood count abnormal|white blood cell count increased|gout|fatigue,MODERATE,1,FDA FAERS
albuterol,prednisone,albuterol + prednisone,5,5,0,4,1.0,0.0,0.8,dyspnoea|chest discomfort|mental status changes|asthma|chest pain,MODERATE,1,FDA FAERS
cyclophosphamide,methotrexate,cyclophosphamide + methotrexate,5,5,3,3,1.0,0.6,0.6,febrile neutropenia|pneumonia|cytomegalovirus infection|cystitis haemorrhagic|acute graft versus host disease,MODERATE,1,FDA FAERS
levothyroxine,prednisone,levothyroxine + prednisone,5,6,0,3,1.2,0.0,0.6,adverse drug reaction|thrombocytopenia|skin discolouration|rash|laboratory test abnormal,MODERATE,1,FDA FAERS
lipitor,lovastatin,lipitor + lovastatin,5,5,0,0,1.0,0.0,0.0,type 2 diabetes mellitus|cerebrovascular accident|pulmonary thrombosis,MODERATE,1,FDA FAERS
lisinopril,metoprolol,lisinopril + metoprolol,5,6,0,1,1.2,0.0,0.2,abdominal pain upper|grand mal convulsion|vomiting|amnesia|blood count abnormal,MODERATE,1,FDA FAERS
lyrica,metoprolol,lyrica + metoprolol,5,7,1,2,1.4,0.2,0.4,back pain|laboratory test abnormal|vertigo|septic shock|gastrointestinal haemorrhage,MODERATE,1,FDA FAERS
lasix,metformin,lasix + metformin,5,6,1,2,1.2,0.2,0.4,unevaluable event|feeling abnormal|pneumonia|suicidal ideation|psychotic disorder,MODERATE,1,FDA FAERS
methotrexate,remicade,methotrexate + remicade,5,5,0,2,1.0,0.0,0.4,arthropathy|pouchitis|finger deformity|oral surgery|foot deformity,MODERATE,1,FDA FAERS
paracetamol,prednisolone,paracetamol + prednisolone,5,6,1,1,1.2,0.2,0.2,grand mal convulsion|breast cancer|drug interaction|postictal state|leukoencephalopathy,MODERATE,1,FDA FAERS
aspirin,hydrochlorothiazide,aspirin + hydrochlorothiazide,5,8,0,2,1.6,0.0,0.4,transfusion|flatulence|nasal congestion|constipation|spondylitis,MODERATE,1,FDA FAERS
advair,albuterol,advair + albuterol,5,8,0,2,1.6,0.0,0.4,diarrhoea|tremor|dyspnoea|asthma|chest pain,MODERATE,1,FDA FAERS
lasix,synthroid,lasix + synthroid,5,7,0,3,1.4,0.0,0.6,unevaluable event|feeling abnormal|pneumonia|suicidal ideation|psychotic disorder,MODERATE,1,FDA FAERS
metoclopramide,paracetamol,metoclopramide + paracetamol,5,5,1,2,1.0,0.2,0.4,breast cancer|drug interaction|leukoencephalopathy|peroneal nerve palsy|mobility decreased,MODERATE,1,FDA FAERS
dexamethasone,metoclopramide,dexamethasone + metoclopramide,5,5,1,2,1.0,0.2,0.4,breast cancer|drug interaction|chest pain|nausea|cough,MODERATE,1,FDA FAERS
gabapentin,tecfidera,gabapentin + tecfidera,5,10,0,0,2.0,0.0,0.0,nausea|flushing|dehydration|retching|constipation,MODERATE,1,FDA FAERS
copegus,pegasys,copegus + pegasys,5,5,0,2,1.0,0.0,0.4,drug interaction|pancytopenia|oedematous pancreatitis|amylase increased|lipase increased,MODERATE,1,FDA FAERS
furosemide,omeprazole,furosemide + omeprazole,5,9,0,1,1.8,0.0,0.2,abdominal pain upper|headache|dizziness|nasopharyngitis|diarrhoea,MODERATE,1,FDA FAERS
amlodipine,lisinopril,amlodipine + lisinopril,5,5,1,4,1.0,0.2,0.8,dehydration|appendicitis|dermatitis bullous|type iv hypersensitivity reaction|cardiac arrest,MODERATE,1,FDA FAERS
lisinopril,tylenol,lisinopril + tylenol,5,8,1,2,1.6,0.2,0.4,nausea|vomiting|fatigue|asthenia|abdominal pain upper,MODERATE,1,FDA FAERS
carboplatin,paclitaxel,carboplatin + paclitaxel,5,5,3,1,1.0,0.6,0.2,second primary malignancy|acute myeloid leukaemia|non-small cell lung cancer|disease progression|off label use,MODERATE,1,FDA FAERS
jakafi,potassium,jakafi + potassium,5,9,0,1,1.8,0.0,0.2,therapeutic response unexpected|rash|abdominal pain upper|headache|dizziness,MODERATE,1,FDA FAERS
tecfidera,zofran,tecfidera + zofran,5,9,0,1,1.8,0.0,0.2,headache|nausea|flushing|influenza like illness|prescribed underdose,MODERATE,1,FDA FAERS
keppra,onfi,keppra + onfi,5,8,0,1,1.6,0.0,0.2,convulsion|feeling abnormal|drug ineffective|fatigue|malaise,MODERATE,1,FDA FAERS
metformin,simvastatin,metformin + simvastatin,5,7,2,0,1.4,0.4,0.0,abdominal pain upper|weight increased|cough|sleep disorder|muscular weakness,MODERATE,1,FDA FAERS
metformin,metoprolol,metformin + metoprolol,5,6,0,3,1.2,0.0,0.6,drug interaction|abdominal pain upper|gastrointestinal haemorrhage|type 2 diabetes mellitus|headache,MODERATE,1,FDA FAERS
lasix,plavix,lasix + plavix,5,6,0,3,1.2,0.0,0.6,haemoglobin decreased|weight increased|pancreatitis|off label use|renal impairment,MODERATE,1,FDA FAERS
lorazepam,omeprazole,lorazepam + omeprazole,5,6,1,1,1.2,0.2,0.2,drug interaction|breast cancer|adverse drug reaction|thrombocytopenia|infection,MODERATE,1,FDA FAERS
lasix,oxycodone,lasix + oxycodone,5,6,1,2,1.2,0.2,0.4,pancreatitis|off label use|mental status changes|chest pain|abdominal pain,MODERATE,1,FDA FAERS
furosemide,simvastatin,furosemide + simvastatin,5,7,0,2,1.4,0.0,0.4,gastrointestinal haemorrhage|increased appetite|incontinence|off label use|epistaxis,MODERATE,1,FDA FAERS
levothyroxine,omeprazole,levothyroxine + omeprazole,5,7,1,2,1.4,0.2,0.4,haemoglobin decreased|adverse drug reaction|thrombocytopenia|laboratory test abnormal|dyspnoea,MODERATE,1,FDA FAERS
letairis,nexium,letairis + nexium,5,9,0,1,1.8,0.0,0.2,back pain|fluid retention|cardiac failure|hypotension|anaemia,MODERATE,1,FDA FAERS
allopurinol,metoprolol,allopurinol + metoprolol,5,6,1,0,1.2,0.2,0.0,haemoglobin decreased|weight increased|transfusion|vision blurred|intraocular pressure increased,MODERATE,1,FDA FAERS
everolimus,exemestane,everolimus + exemestane,5,5,0,1,1.0,0.0,0.2,rash|fatigue|mouth ulceration|pleural effusion|decreased appetite,MODERATE,1,FDA FAERS
carvedilol,dabigatran,carvedilol + dabigatran,5,5,0,5,1.0,0.0,1.0,drug interaction|gastrointestinal haemorrhage|upper gastrointestinal haemorrhage|haemorrhage|small intestinal haemorrhage,MODERATE,1,FDA FAERS
lipitor,vytorin,lipitor + vytorin,5,5,0,0,1.0,0.0,0.0,type 2 diabetes mellitus|glucose tolerance impaired|skin lesion|purulent discharge,MODERATE,1,FDA FAERS
amlodipine,paracetamol,amlodipine + paracetamol,5,5,0,2,1.0,0.0,0.4,erection increased|vomiting|diplopia|gait disturbance|balance disorder,MODERATE,1,FDA FAERS
aspirin,multivitamins,aspirin + multivitamins,5,8,0,1,1.6,0.0,0.2,rash|headache|haemoglobin decreased|alopecia|palpitations,MODERATE,1,FDA FAERS
